"clickcount","duration","numOfSegments","numOfPoints"
"0","7.954722881317139","110","243"
"1","11.38753628730774","162","343"
"0","13.062947273254395","198","412"
"0","11.896303415298462","185","370"
"0","18.929006099700928","277","585"
"0","18.3744957447052","266","574"
"0","15.830703735351562","229","490"
"0","13.596665620803833","200","425"
"0","20.088318347930908","297","619"
"0","4.745819330215454","63","142"
"0","2.8670871257781982","33","84"
"0","27.020153045654297","409","837"
"0","26.245206117630005","397","818"
"0","6.5557355880737305","78","202"
"0","22.307960987091064","336","696"
"0","29.052193641662598","438","906"
"1","12.499581098556519","158","386"
"2","14.12138056755066","197","441"
"0","20.670774698257446","313","638"
"0","21.304020881652832","327","663"
"0","10.74818730354309","147","335"
"0","11.357780933380127","176","354"
"0","32.49836206436157","492","1012"
"0","15.429321765899658","227","478"
"0","28.202070236206055","422","865"
"0","33.59376096725464","495","1028"
"0","18.980891704559326","282","592"
"0","10.192866563796997","157","314"
"0","18.623039484024048","287","583"
"0","26.66293430328369","414","835"
"0","6.849757671356201","100","209"
"0","57.56289029121399","880","1776"
"0","10.353852987289429","149","319"
"0","10.406485557556152","147","320"
"0","7.9186952114105225","108","243"
"0","7.862948179244995","117","245"
"0","12.464663743972778","184","386"
"0","18.055781602859497","270","555"
"0","10.196095943450928","145","317"
"0","26.88117790222168","408","831"
"0","10.356300592422485","146","318"
"0","40.18651628494263","614","1248"
"0","28.4991295337677","403","884"
"1","19.273780822753906","288","598"
"0","32.60677099227905","495","1022"
"0","7.310121774673462","110","228"
"0","43.222068548202515","654","1332"
"0","11.44465708732605","163","354"
"0","14.039244413375854","206","437"
"0","23.7167010307312","359","740"
"0","33.40902590751648","486","1040"
"0","67.66024351119995","1025","2093"
"0","24.940288066864014","372","767"
"0","14.588222980499268","223","456"
"0","42.8399395942688","657","1334"
"0","23.18398380279541","351","722"
"0","28.055585145950317","427","866"
"0","22.320375204086304","290","683"
"3","14.850164651870728","218","460"
"0","15.176856756210327","215","471"
"0","30.54817223548889","466","951"
"0","54.93764543533325","771","1692"
"13","60.71301603317261","922","1874"
"0","14.948420763015747","223","462"
"0","10.240936040878296","149","318"
"0","25.145320892333984","376","772"
"0","5.019183874130249","59","145"
"0","10.133370876312256","134","314"
"0","26.828121662139893","397","819"
"0","12.153207063674927","179","366"
"0","18.77900195121765","279","577"
"0","5.229377508163452","59","160"
"0","7.14653754234314","88","223"
"0","11.007297277450562","129","341"
"0","17.687662601470947","255","535"
"0","6.7218241691589355","98","209"
"0","4.194828271865845","44","128"
"0","56.816681146621704","860","1751"
"0","16.722269296646118","230","514"
"0","32.0986864566803","475","983"
"0","20.236053943634033","304","626"
"0","9.897598028182983","142","306"
"0","8.115537166595459","108","246"
"0","13.907172441482544","191","429"
"0","15.189250469207764","216","468"
"0","56.499409437179565","829","1742"
"0","4.354443788528442","57","131"
"0","8.98038935661316","122","276"
"0","3.999497890472412","60","122"
"0","27.766105890274048","415","856"
"0","50.88162016868591","766","1564"
"0","6.334632873535156","80","188"
"0","19.414530992507935","288","597"
"0","16.982468843460083","251","524"
"0","14.784090042114258","192","452"
"1","61.9437255859375","945","1911"
"0","5.255028486251831","75","163"
"0","15.110669136047363","215","470"
"0","6.118200778961182","85","189"
"0","10.402531147003174","142","314"
"0","11.558865070343018","162","357"
"0","25.01675820350647","371","771"
"0","40.271241903305054","607","1244"
"0","8.979236602783203","126","275"
"0","22.746131658554077","344","702"
"0","11.752557277679443","164","361"
"0","17.614516735076904","262","550"
"0","14.8135507106781","213","455"
"0","13.550416469573975","182","414"
"0","8.865153789520264","114","274"
"0","16.881640195846558","248","523"
"0","16.641403198242188","240","508"
"0","5.566281795501709","74","168"
"0","8.892120122909546","127","271"
"0","6.80855655670166","88","207"
"0","7.596981048583984","110","232"
"0","9.805118322372437","123","300"
"0","15.647490501403809","229","483"
"0","19.43459987640381","277","604"
"0","20.598577737808228","300","623"
"0","12.637725114822388","179","387"
"0","12.603225469589233","161","393"
"0","31.488399267196655","467","976"
"0","2.5069329738616943","32","75"
"0","3.3856959342956543","39","103"
"0","2.9579594135284424","31","87"
"0","12.909417629241943","175","386"
"2","4.5591959953308105","55","139"
"0","4.902081489562988","72","150"
"0","10.464877367019653","144","320"
"0","2.4814093112945557","36","73"
"0","3.8313605785369873","47","118"
"0","6.9931840896606445","95","214"
"0","6.7073140144348145","98","207"
"0","17.899355173110962","266","553"
"0","5.528975963592529","66","169"
"0","11.690244197845459","148","361"
"0","5.42273473739624","68","167"
"0","9.654725074768066","123","298"
"0","9.843862533569336","126","295"
"0","23.73151683807373","351","736"
"0","8.48748254776001","108","260"
"0","14.869844675064087","209","460"
"0","10.089076519012451","136","313"
"0","3.36179780960083","40","95"
"0","8.698126077651978","121","268"
"0","5.156821250915527","71","158"
"0","6.041175365447998","88","187"
"0","4.731236457824707","69","147"
"0","9.8056640625","143","303"
"0","2.5212316513061523","24","75"
"0","24.612552642822266","275","750"
"4","10.563880920410156","132","322"
"0","9.251988649368286","126","285"
"0","3.5814146995544434","46","113"
"0","1.4946675300598145","20","41"
"0","0.8769023418426514","14","28"
"0","2.4996531009674072","28","74"
"0","3.8709399700164795","50","115"
"0","2.921276092529297","38","92"
"0","2.6582846641540527","36","81"
"0","3.0546603202819824","42","96"
"0","3.588130474090576","54","109"
"0","2.3906643390655518","32","65"
"0","3.8760993480682373","39","119"
"0","15.339253664016724","197","475"
"1","2.449314832687378","34","75"
"0","2.9255900382995605","37","86"
"0","4.188528776168823","59","130"
"0","3.266050100326538","38","100"
"0","14.356740951538086","206","443"
"0","2.387138843536377","31","71"
"0","3.0134456157684326","42","90"
"0","2.9816129207611084","44","90"
"0","2.4972410202026367","39","78"
"0","2.677724838256836","40","82"
"0","3.816606044769287","58","117"
"0","3.2329792976379395","49","99"
"0","2.3948357105255127","35","71"
"0","2.1899828910827637","34","68"
"0","2.052016496658325","32","65"
"0","2.4054369926452637","37","74"
"0","2.88602352142334","43","89"
"0","6.379802703857422","85","196"
"0","2.9525344371795654","38","91"
"0","21.127939701080322","308","653"
"0","14.843652248382568","208","454"
"0","3.98087477684021","47","120"
"0","3.343273878097534","47","95"
"0","4.048778772354126","61","122"
"0","2.4194414615631104","35","70"
"0","6.116877317428589","80","187"
"0","4.062049627304077","62","126"
"0","4.293533802032471","64","129"
"0","3.4714815616607666","50","107"
"0","4.137867212295532","54","127"
"0","4.840129375457764","64","151"
"0","5.759063005447388","54","177"
"0","5.760202646255493","73","174"
"0","3.490640878677368","36","105"
"0","85.31801390647888","1222","2620"
"1","15.783541917800903","223","486"
"0","4.904227018356323","48","144"
